100
(49, 3)
(74, 73)
(65, 36)
(39, 41)
(61, 99)
(69, 44)
(88, 92)
(97, 28)
(53, 64)
(30, 77)
(96, 62)
(61, 45)
(30, 3)
(66, 41)
(18, 9)
(61, 64)
(28, 88)
(2, 72)
(80, 66)
(56, 38)
(51, 16)
(18, 2)
(89, 18)
(67, 66)
(72, 6)
(53, 32)
(29, 25)
(77, 69)
(89, 56)
(68, 88)
(98, 53)
(36, 25)
(16, 0)
(20, 32)
(100, 10)
(49, 49)
(85, 38)
(42, 52)
(3, 85)
(62, 77)
(97, 87)
(75, 54)
(40, 19)
(32, 33)
(59, 1)
(90, 43)
(62, 11)
(77, 14)
(88, 66)
(39, 32)
(34, 69)
(12, 73)
(58, 88)
(34, 19)
(32, 45)
(36, 36)
(84, 47)
(28, 18)
(23, 57)
(14, 52)
(29, 38)
(0, 17)
(87, 96)
(61, 11)
(45, 56)
(2, 60)
(97, 67)
(73, 70)
(49, 94)
(88, 55)
(40, 55)
(23, 27)
(33, 68)
(70, 84)
(20, 0)
(29, 59)
(35, 18)
(31, 77)
(66, 18)
(62, 37)
(55, 30)
(30, 61)
(76, 45)
(7, 100)
(100, 68)
(65, 97)
(25, 10)
(4, 10)
(87, 99)
(57, 87)
(32, 79)
(40, 43)
(56, 49)
(24, 100)
(95, 64)
(9, 95)
(67, 72)
(62, 68)
(100, 1)
(79, 71)
