200
(42, 61)
(36, 13)
(86, 88)
(78, 74)
(60, 44)
(97, 54)
(28, 32)
(25, 19)
(31, 57)
(97, 68)
(52, 55)
(64, 26)
(3, 36)
(32, 45)
(66, 79)
(57, 36)
(78, 94)
(28, 24)
(21, 62)
(55, 31)
(79, 38)
(52, 39)
(56, 72)
(100, 99)
(1, 46)
(47, 78)
(18, 22)
(13, 96)
(13, 49)
(95, 68)
(55, 66)
(32, 58)
(58, 49)
(42, 94)
(33, 72)
(33, 97)
(63, 74)
(75, 68)
(6, 73)
(5, 70)
(8, 69)
(90, 17)
(85, 98)
(64, 40)
(63, 9)
(39, 53)
(22, 21)
(11, 9)
(85, 30)
(19, 73)
(73, 7)
(2, 29)
(83, 91)
(60, 17)
(86, 22)
(67, 81)
(32, 13)
(73, 88)
(29, 17)
(23, 23)
(20, 14)
(46, 98)
(43, 71)
(55, 83)
(77, 6)
(15, 94)
(46, 20)
(23, 8)
(9, 52)
(81, 2)
(56, 85)
(86, 2)
(1, 81)
(91, 12)
(67, 42)
(68, 64)
(88, 81)
(82, 67)
(71, 74)
(93, 45)
(45, 92)
(94, 15)
(59, 70)
(85, 16)
(90, 76)
(19, 66)
(55, 57)
(1, 9)
(54, 35)
(6, 7)
(80, 84)
(14, 71)
(47, 82)
(69, 12)
(60, 84)
(1, 50)
(92, 46)
(26, 18)
(0, 27)
(93, 24)
(39, 32)
(78, 15)
(47, 0)
(55, 37)
(8, 95)
(1, 34)
(27, 66)
(49, 13)
(44, 64)
(6, 77)
(1, 95)
(67, 11)
(93, 53)
(98, 65)
(27, 17)
(80, 78)
(69, 42)
(93, 10)
(96, 84)
(16, 13)
(12, 86)
(18, 55)
(73, 39)
(19, 57)
(15, 63)
(61, 85)
(73, 64)
(70, 50)
(48, 43)
(85, 61)
(71, 0)
(0, 24)
(59, 50)
(49, 34)
(12, 44)
(75, 90)
(68, 1)
(67, 0)
(63, 79)
(79, 12)
(38, 96)
(25, 100)
(91, 68)
(56, 29)
(95, 50)
(53, 82)
(89, 100)
(39, 76)
(60, 23)
(62, 19)
(60, 26)
(55, 58)
(29, 54)
(16, 9)
(18, 25)
(33, 86)
(6, 42)
(99, 9)
(47, 100)
(58, 13)
(71, 57)
(74, 16)
(61, 17)
(9, 62)
(87, 39)
(76, 38)
(82, 38)
(37, 28)
(0, 61)
(37, 86)
(80, 99)
(43, 24)
(77, 95)
(46, 7)
(30, 77)
(35, 47)
(54, 87)
(33, 25)
(37, 55)
(76, 26)
(53, 33)
(64, 30)
(39, 83)
(94, 17)
(58, 9)
(6, 29)
(99, 89)
(83, 67)
(10, 5)
(78, 0)
(63, 56)
(76, 9)
(56, 32)
(2, 33)
(97, 48)
(68, 54)
(11, 78)
(91, 54)
(33, 83)
(8, 80)
